h1,h2,h3,h4,t1,t2,t3,t4,t,abp1,abp2,abp3,abp4,abp5
1.024,0.255,0.354,0.099,0.208,0.344,0.416,0.136,0.6,76.4,92.4,87.65,84.7,77.3
1.031,0.265,0.369,0.104,0.208,0.344,0.416,0.128,0.608,77.3,91.75,89.2,86,80.25
1.051,0.207,0.298,0.091,0.184,0.336,0.4,0.112,0.592,80.25,96.5,90.7,86.95,80
0.997,0.14,0.223,0.083,0.184,0.328,0.392,0.112,0.592,80,94.6,89.5,86.3,79.1
1.047,0.257,0.369,0.112,0.184,0.328,0.4,0.112,0.592,79.1,94.25,88.5,85.05,78.45
1.012,0.249,0.359,0.11,0.184,0.32,0.4,0.112,0.6,78.45,93.95,87.35,84.6,79.35
1.019,0.257,0.363,0.106,0.176,0.32,0.392,0.104,0.576,79.35,94.45,87.8,84.65,77.2
1.006,0.225,0.329,0.104,0.2,0.336,0.408,0.12,0.6,77.2,91.1,86.85,85.45,79.15
1.031,0.248,0.338,0.09,0.192,0.328,0.4,0.12,0.584,79.15,92.9,89.2,86.65,80
1.02,0.201,0.288,0.087,0.192,0.328,0.4,0.12,0.608,80,95.95,90,87.1,82.6
0.962,0.166,0.257,0.091,0.168,0.312,0.384,0.104,0.584,82.6,96.7,88.7,85.95,79.85
1.003,0.285,0.388,0.103,0.184,0.32,0.392,0.112,0.592,79.85,93.1,88.35,85.65,78.9
0.982,0.271,0.37,0.099,0.184,0.32,0.4,0.112,0.6,78.9,94.45,88.1,85.05,79.35
0.961,0.243,0.346,0.103,0.184,0.32,0.4,0.112,0.584,79.35,92.4,88.1,84.55,77.85
0.98,0.253,0.345,0.092,0.2,0.328,0.4,0.12,0.6,77.85,91.8,88.75,86.75,80
1.042,0.244,0.34,0.096,0.192,0.328,0.392,0.12,0.6,80,94.65,90.55,88.5,81.95
1.04,0.2,0.275,0.075,0.184,0.32,0.384,0.112,0.592,81.95,95.5,90.6,88,80.6
0.997,0.237,0.323,0.086,0.184,0.32,0.392,0.112,0.592,80.6,94.55,89.25,86.5,79.25
1.04,0.287,0.386,0.099,0.192,0.328,0.4,0.12,0.568,79.25,92.3,89.1,85.65,77.65
1.043,0.285,0.385,0.1,0.224,0.352,0.424,0.144,0.624,77.65,91.25,88.35,85.85,78.1
1.026,0.258,0.384,0.126,0.192,0.328,0.408,0.12,0.592,78.1,93.85,88.1,85,78.2
1.027,0.267,0.379,0.112,0.2,0.336,0.416,0.128,0.6,78.2,93.65,89.05,86.3,79.8
1.078,0.264,0.35,0.086,0.192,0.336,0.4,0.12,0.592,79.8,96.95,90.45,88.5,80.65
0.998,0.166,0.239,0.073,0.192,0.328,0.4,0.12,0.608,80.65,95.7,89.25,87.15,81.65
1.05,0.245,0.344,0.099,0.176,0.312,0.392,0.104,0.568,81.65,94.15,88.35,85.75,77.8
1.067,0.297,0.397,0.1,0.208,0.344,0.416,0.128,0.6,77.8,91.3,88.3,85.35,77.6
1.031,0.254,0.361,0.107,0.2,0.336,0.416,0.128,0.6,77.6,92.2,87.85,84.55,77.85
1.027,0.243,0.363,0.12,0.192,0.328,0.4,0.12,0.592,77.85,92.45,87.75,85.25,78.3
1.076,0.286,0.388,0.102,0.192,0.336,0.4,0.12,0.6,78.3,95.2,89.45,87.2,80.8
1.045,0.219,0.302,0.083,0.168,0.328,0.392,0.112,0.592,80.8,103.15,90.55,87.8,80.55
1.016,0.152,0.235,0.083,0.184,0.32,0.384,0.112,0.608,80.55,94.45,89.15,86.85,83.4
1.032,0.247,0.342,0.095,0.168,0.304,0.384,0.096,0.568,83.4,93.6,88.55,85.1,77.8
1.021,0.256,0.361,0.105,0.192,0.336,0.408,0.12,0.6,77.8,94.3,88.4,84.75,77.65
1.018,0.252,0.375,0.123,0.192,0.328,0.4,0.12,0.592,77.65,92.6,88.05,84.95,77.5
1.003,0.251,0.363,0.112,0.192,0.328,0.408,0.12,0.6,77.5,93.25,88.05,84.9,79
1.056,0.263,0.368,0.105,0.192,0.328,0.4,0.12,0.592,79,93.35,89.6,87,80.3
1.048,0.219,0.293,0.074,0.192,0.328,0.392,0.12,0.632,80.3,94.35,90.05,87.5,91.1
0.991,0.171,0.26,0.089,0.152,0.288,0.36,0.08,0.56,91.1,93.1,88.65,86.1,79.85
1.015,0.259,0.358,0.099,0.184,0.32,0.392,0.112,0.584,79.85,92.5,88,85.5,77.75
1.019,0.269,0.394,0.125,0.192,0.336,0.408,0.12,0.592,77.75,93.75,87.9,84.95,77.3
0.991,0.268,0.368,0.1,0.2,0.336,0.4,0.128,0.6,77.3,90.85,87.65,85.35,77.55
1.014,0.276,0.381,0.105,0.192,0.328,0.408,0.12,0.592,77.55,92.55,88.35,85.5,79
1.034,0.224,0.321,0.097,0.192,0.328,0.4,0.12,0.592,79,94.9,89.6,87.35,80.3
1.036,0.189,0.265,0.076,0.184,0.328,0.392,0.112,0.6,80.3,96.85,89.4,86.85,80.8
1.022,0.219,0.32,0.101,0.176,0.32,0.392,0.104,0.576,80.8,94.55,88.45,85.3,77.65
1.036,0.271,0.385,0.114,0.2,0.336,0.424,0.12,0.6,77.65,91.55,88,83.55,78.15
1.011,0.248,0.366,0.118,0.192,0.328,0.4,0.112,0.584,78.15,90.8,87.75,84.4,77.1
1.016,0.26,0.364,0.104,0.2,0.336,0.408,0.12,0.592,77.1,90.8,88.05,84.15,78.1
1.029,0.257,0.363,0.106,0.2,0.336,0.408,0.12,0.6,78.1,91.25,89.15,85.85,80.2
1.057,0.242,0.33,0.088,0.184,0.32,0.392,0.112,0.608,80.2,95.2,90,87.35,86.4
0.998,0.136,0.224,0.088,0.16,0.304,0.368,0.088,0.568,86.4,95.5,89.1,86.45,80.3
1.028,0.238,0.34,0.102,0.184,0.32,0.392,0.112,0.576,80.3,92.15,88.1,85.45,77.85
1.017,0.255,0.379,0.124,0.192,0.336,0.408,0.12,0.6,77.85,93.55,87.8,84.6,78.45
1.017,0.267,0.373,0.106,0.184,0.32,0.4,0.112,0.592,78.45,92.75,87.45,84.05,78.15
1.034,0.276,0.376,0.1,0.184,0.328,0.392,0.112,0.584,78.15,93.2,87.8,85.1,78.2
1.029,0.244,0.348,0.104,0.192,0.328,0.408,0.12,0.592,78.2,94.5,88.8,86.05,79.7
1.045,0.24,0.325,0.085,0.192,0.328,0.4,0.12,0.6,79.7,94.8,90.2,87.45,80.95
0.987,0.164,0.245,0.081,0.176,0.32,0.392,0.104,0.584,80.95,96.5,89.35,86.05,78.75
1.016,0.25,0.358,0.108,0.192,0.328,0.4,0.12,0.592,78.75,92.15,88.55,85.3,77.9
1.015,0.266,0.386,0.12,0.192,0.328,0.4,0.12,0.6,77.9,92.9,87.9,85.1,77.8
1.005,0.26,0.363,0.103,0.192,0.328,0.4,0.12,0.6,77.8,92.15,88.2,84.8,77.6
1.014,0.252,0.354,0.102,0.192,0.328,0.408,0.12,0.592,77.6,92.15,88.65,84.75,78.25
1.024,0.249,0.349,0.1,0.2,0.336,0.408,0.128,0.616,78.25,94.3,89.8,87.15,82.2
1.017,0.218,0.295,0.077,0.176,0.312,0.384,0.104,0.584,82.2,96.15,89.7,87.3,79.35
0.972,0.184,0.284,0.1,0.184,0.328,0.4,0.12,0.6,79.35,96.4,88.65,86.1,78.9
0.998,0.272,0.394,0.122,0.184,0.32,0.4,0.112,0.592,78.9,94.8,87.75,85.4,77.75
0.977,0.27,0.379,0.109,0.192,0.328,0.408,0.12,0.6,77.75,94,87.45,84.95,77.65
0.994,0.26,0.365,0.105,0.192,0.328,0.408,0.12,0.6,77.65,92.4,87.4,84.4,77.65
0.998,0.246,0.353,0.107,0.192,0.328,0.408,0.12,0.6,77.65,92.4,88.4,85.65,80
1.053,0.266,0.365,0.099,0.184,0.32,0.392,0.112,0.592,80,95.3,89.75,87.55,81.35
1.031,0.198,0.278,0.08,0.176,0.32,0.384,0.112,0.6,81.35,97.3,89.2,87,82
1.03,0.237,0.341,0.104,0.176,0.312,0.384,0.104,0.584,82,92.45,88.2,85.45,79.1
1.039,0.306,0.404,0.098,0.184,0.32,0.4,0.112,0.592,79.1,92.55,87.8,84.45,78.2
1.046,0.291,0.386,0.095,0.192,0.32,0.392,0.112,0.584,78.2,90.25,87.4,85.1,76.9
1.033,0.265,0.366,0.101,0.2,0.336,0.408,0.128,0.6,76.9,91.9,87.55,84.65,77.85
1.066,0.301,0.406,0.105,0.2,0.336,0.408,0.12,0.6,77.85,91.5,89,86.1,79.7
1.087,0.276,0.367,0.091,0.192,0.328,0.392,0.112,0.592,79.7,93.75,90.45,87.75,79.85
1.022,0.162,0.222,0.06,0.184,0.328,0.392,0.112,0.592,79.85,95.6,89.15,86.35,78.75
1.054,0.267,0.372,0.105,0.184,0.328,0.4,0.112,0.584,78.75,94.85,87.9,85,77.15
1.044,0.286,0.395,0.109,0.2,0.336,0.408,0.128,0.6,77.15,92.1,87.55,84.75,77.3
1.04,0.254,0.365,0.111,0.192,0.328,0.408,0.12,0.592,77.3,93,87.2,84.1,77.15
1.052,0.257,0.365,0.108,0.192,0.336,0.408,0.12,0.592,77.15,93.65,87.65,84.95,78.2
1.066,0.271,0.387,0.116,0.2,0.336,0.408,0.128,0.6,78.2,92.65,89.1,86.6,80.4
1.074,0.244,0.326,0.082,0.184,0.32,0.384,0.112,0.6,80.4,96.15,89.7,88.05,81.9
1.015,0.157,0.246,0.089,0.176,0.312,0.384,0.104,0.584,81.9,93.55,88.35,85.75,79.15
1.047,0.274,0.375,0.101,0.184,0.32,0.392,0.112,0.592,79.15,93.15,87.8,85.3,78.3
1.042,0.277,0.384,0.107,0.184,0.32,0.392,0.112,0.584,78.3,92.9,87.35,84.7,77.1
1.015,0.237,0.352,0.115,0.192,0.328,0.408,0.12,0.584,77.1,93.1,87.2,84.05,76.5
1.038,0.266,0.368,0.102,0.2,0.344,0.416,0.128,0.6,76.5,93.75,88.2,84.95,78.45
1.072,0.263,0.371,0.108,0.192,0.336,0.408,0.12,0.6,78.45,95.8,90,86.65,80.9
1.054,0.197,0.26,0.063,0.184,0.344,0.392,0.112,0.592,80.9,95.25,90.05,86.65,80.7
1.012,0.192,0.29,0.098,0.176,0.32,0.392,0.104,0.576,80.7,95.15,88.8,85.45,78.1
1.048,0.274,0.381,0.107,0.2,0.336,0.408,0.12,0.6,78.1,90.8,88.2,84.75,78.65
1.017,0.255,0.359,0.104,0.184,0.32,0.4,0.112,0.584,78.65,93.95,87.55,84.8,77.75
1.021,0.242,0.355,0.113,0.192,0.336,0.408,0.12,0.6,77.75,93.8,87.8,84.45,78.25
1.018,0.247,0.35,0.103,0.192,0.328,0.392,0.12,0.592,78.25,91.75,88.55,86.65,79.8
1.058,0.25,0.323,0.073,0.192,0.328,0.376,0.12,0.592,79.8,94.15,90.1,89.05,80.65
1.013,0.157,0.23,0.073,0.184,0.328,0.392,0.112,0.6,80.65,96.7,89.45,86.85,80.55
1.008,0.223,0.329,0.106,0.176,0.32,0.392,0.104,0.584,80.55,94.95,88.35,85.25,78.25
1.045,0.289,0.396,0.107,0.184,0.328,0.4,0.12,0.592,78.25,94.65,87.85,84.75,77.6
1.008,0.246,0.35,0.104,0.192,0.328,0.4,0.12,0.568,77.6,91.95,87.55,84.6,76.55
1.012,0.243,0.356,0.113,0.216,0.352,0.424,0.144,0.624,76.55,92.4,87.45,84.6,78.45
0.989,0.324,0.431,0.107,0.176,0.32,0.4,0.112,0.6,78.45,98.4,88.75,86.25,81
1.028,0.139,0.28,0.141,0.176,0.32,0.392,0.104,0.584,81,96,90,86.95,80.35
1.004,0.154,0.308,0.154,0.176,0.32,0.4,0.104,0.576,80.35,96.55,89.7,85.4,78.3
1.041,0.218,0.336,0.118,0.192,0.312,0.368,0.12,0.584,78.3,93.55,86.5,88.2,76.9
1.1,0.283,0.415,0.132,0.2,0.336,0.416,0.12,0.592,76.9,92.05,88,84.75,77.1
1.127,0.327,0.448,0.121,0.2,0.336,0.416,0.12,0.608,77.1,90.4,88.4,84.1,80.55
1.075,0.217,0.336,0.119,0.176,0.312,0.392,0.104,0.584,80.55,91.75,88.3,85,80.35
1.039,0.256,0.328,0.072,0.176,0.32,0.368,0.112,0.584,80.35,95.9,89.15,88.05,81.65
0.981,0.187,0.316,0.129,0.176,0.312,0.4,0.104,0.616,81.65,97.25,90.75,86.4,94.55
0.968,0.227,0.286,0.059,0.152,0.288,0.352,0.08,0.552,94.55,92.15,88.35,87,80.65
0.961,0.245,0.352,0.107,0.184,0.32,0.392,0.112,0.6,80.65,92.65,88.85,86.65,82.5
1.051,0.555,0.658,0.103,0.176,0.296,0.36,0.104,0.568,82.5,91.55,85.45,86.1,79.8
1.12,0.305,0.432,0.127,0.192,0.328,0.416,0.12,0.6,79.8,92.8,88.85,84.75,80.55
1.003,0.267,0.366,0.099,0.184,0.312,0.384,0.112,0.592,80.55,91.8,89.5,86.85,82.4
1.003,0.297,0.352,0.055,0.176,0.312,0.384,0.104,0.568,82.4,95.9,90.95,88.5,81.5
0.983,0.204,0.254,0.05,0.192,0.32,0.392,0.12,0.6,81.5,96.15,91.05,88.65,84.45
0.918,0.15,0.224,0.074,0.168,0.304,0.376,0.104,0.576,84.45,97.05,89.75,88.05,82
0.947,0.237,0.359,0.122,0.176,0.312,0.392,0.104,0.576,82,95.65,89.7,86.45,80.4
0.972,0.266,0.364,0.098,0.184,0.328,0.4,0.112,0.592,80.4,95.05,89.5,85.95,80.9
1.01,0.279,0.384,0.105,0.184,0.312,0.392,0.112,0.576,80.9,92.3,89.05,86.1,79.7
0.981,0.254,0.354,0.1,0.192,0.32,0.4,0.12,0.584,79.7,92.9,89.55,87,81.3
1.031,0.291,0.371,0.08,0.192,0.32,0.376,0.112,0.584,81.3,94.5,91.45,90.15,82.85
1.015,0.206,0.283,0.077,0.184,0.32,0.384,0.112,0.6,82.85,97.3,91.2,89,85.15
0.983,0.215,0.295,0.08,0.168,0.304,0.376,0.096,0.576,85.15,96.15,90,87.65,80.85
1.021,0.284,0.371,0.087,0.184,0.32,0.392,0.112,0.592,80.85,95.4,89.15,87.05,80.3
1.028,0.223,0.3,0.077,0.184,0.32,0.384,0.112,0.568,80.3,94.2,88.65,86.75,79.5
1.379,0.664,0.717,0.053,0.216,0.352,0.408,0.136,0.64,79.5,92.4,89.35,87,84
0.954,0.275,0.4,0.125,0.168,0.304,0.384,0.104,0.576,84,94.9,89.35,87,80.95
1.056,0.255,0.318,0.063,0.192,0.344,0.4,0.12,0.6,80.95,94.7,91.5,88.35,82
1.099,0.418,0.512,0.094,0.184,0.312,0.384,0.112,0.632,82,94.2,91.05,88.35,92.55
0.863,0.026,0.148,0.122,0.144,0.28,0.36,0.08,0.56,92.55,95.3,89.1,85.95,79.5
1.092,0.294,0.387,0.093,0.184,0.32,0.392,0.112,0.592,79.5,93.95,88.2,85.75,79
1.098,0.289,0.391,0.102,0.192,0.328,0.4,0.12,0.592,79,91.5,88.7,85.1,78.1
1.066,0.263,0.364,0.101,0.192,0.328,0.408,0.12,0.592,78.1,93.2,88.55,85,78.65
1.104,0.293,0.39,0.097,0.2,0.336,0.408,0.128,0.592,78.65,93.1,90.05,87.05,80.25
1.023,0.267,0.376,0.109,0.192,0.328,0.4,0.12,0.616,80.25,97.25,90.75,88.45,84.6
1.041,0.17,0.371,0.201,0.168,0.312,0.384,0.096,0.576,84.6,96,90.7,86.6,79.1
1.058,0.267,0.362,0.095,0.192,0.328,0.4,0.12,0.6,79.1,94.5,89.4,86.35,78.55
1.043,0.255,0.377,0.122,0.192,0.336,0.408,0.12,0.576,78.55,93.45,88.85,85.05,77.45
1.069,0.291,0.362,0.071,0.216,0.352,0.416,0.144,0.616,77.45,93.3,88.45,86.3,77.65
1.08,0.258,0.405,0.147,0.208,0.336,0.416,0.128,0.608,77.65,91.3,88.4,86,78.8
1.049,0.261,0.354,0.093,0.2,0.336,0.416,0.128,0.6,78.8,94.65,90,87.3,80.55
0.985,0.182,0.27,0.088,0.176,0.328,0.4,0.12,0.608,80.55,102.9,90.2,87.5,81.4
0.959,0.141,0.238,0.097,0.176,0.32,0.384,0.112,0.6,81.4,96.05,89.15,87.1,81.75
1.033,0.252,0.353,0.101,0.176,0.312,0.392,0.104,0.576,81.75,93,88.35,85.35,78.25
1.042,0.251,0.361,0.11,0.192,0.328,0.4,0.12,0.6,78.25,94.1,88,85.7,78.25
1.04,0.249,0.367,0.118,0.192,0.328,0.408,0.12,0.584,78.25,92.45,88.15,84.7,77.4
1.019,0.24,0.346,0.106,0.2,0.336,0.416,0.128,0.6,77.4,93.95,88.7,85.85,79.25
1.04,0.26,0.342,0.082,0.192,0.336,0.408,0.128,0.6,79.25,97.3,90.55,87.65,81.35
0.952,0.16,0.231,0.071,0.184,0.328,0.392,0.112,0.624,81.35,95.8,90,87.2,89.2
0.923,0.236,0.333,0.097,0.16,0.288,0.36,0.08,0.576,89.2,91.3,88.85,86.3,82.1
1.052,0.289,0.382,0.093,0.176,0.312,0.376,0.096,0.568,82.1,91.75,88.55,85.85,77.25
1.036,0.281,0.407,0.126,0.2,0.336,0.408,0.128,0.608,77.25,93.85,88.55,85.45,78.35
1.05,0.191,0.337,0.146,0.16,0.32,0.392,0.112,0.584,78.35,104.7,88.05,85.45,77.95
1.057,0.287,0.401,0.114,0.2,0.344,0.408,0.128,0.6,77.95,94,90,86.75,80
1,0.218,0.308,0.09,0.192,0.336,0.408,0.12,0.6,80,95.85,91.15,87.4,80.85
0.926,0.198,0.298,0.1,0.184,0.344,0.4,0.112,0.584,80.85,95.7,90.2,86.4,78.95
1.033,0.294,0.378,0.084,0.192,0.328,0.392,0.12,0.6,78.95,94.95,88.35,87.15,78.65
1.011,0.265,0.375,0.11,0.192,0.328,0.4,0.12,0.624,78.65,92.45,88.3,85.7,83.55
1.022,0.254,0.361,0.107,0.16,0.304,0.376,0.096,0.56,83.55,95,88.1,85.3,77.1
1.11,0.201,0.284,0.083,0.208,0.344,0.424,0.136,0.608,77.1,90.35,87.75,84.4,78.35
1.137,0.372,0.478,0.106,0.192,0.328,0.408,0.12,0.592,78.35,92.6,88.75,86,80
0.996,0.227,0.34,0.113,0.184,0.328,0.4,0.12,0.576,80,96.25,90.45,87.1,79
1.014,0.196,0.292,0.096,0.2,0.336,0.408,0.128,0.6,79,93.2,88.9,85.6,78.45
0.839,0.055,0.15,0.095,0.192,0.328,0.4,0.12,0.592,78.45,90.35,88.3,84,77.25
1.084,0.293,0.397,0.104,0.192,0.328,0.4,0.12,0.584,77.25,89.9,87.5,83.3,76.8
1.08,0.214,0.36,0.146,0.192,0.336,0.424,0.128,0.592,76.8,91.5,86.95,81.3,76.55
1.076,0.21,0.323,0.113,0.192,0.328,0.408,0.12,0.584,76.55,90.1,87.7,83.35,78.1
1.068,0.294,0.384,0.09,0.192,0.328,0.408,0.12,0.592,78.1,94.15,89.45,86.3,81.5
0.89,0.231,0.3,0.069,0.184,0.32,0.392,0.104,0.584,81.5,95,89.8,86.5,80.65
0.762,0.085,0.24,0.155,0.168,0.304,0.392,0.104,0.576,80.65,99.1,86.85,86.25,78.1
0.892,0.287,0.483,0.196,0.184,0.312,0.416,0.112,0.552,78.1,94.55,86.25,83.25,76.4
0.879,0.209,0.373,0.164,0.216,0.352,0.448,0.144,0.504,76.4,96.5,86.5,83.25,79.25
0.88,0.752,1.039,0.287,0.144,0.2,0.264,0.08,0.456,79.25,81.9,104.35,109.85,87.4
0.012,-0.507,0.28,0.787,0.032,0.264,0.432,0.016,0.568,87.4,86.85,78,100.25,86.65
0.166,-0.058,0.801,0.859,0.088,0.28,0.464,0.04,0.592,86.65,85.85,78.95,98.8,88.35
0.172,-0.134,0.666,0.8,0.088,0.304,0.456,0.04,0.592,88.35,87.45,86.35,99.45,88.1
0.125,-0.339,0.547,0.886,0.08,0.28,0.456,0.04,0.592,88.1,86.45,78.95,97.85,87.2
0.095,-0.687,0.329,1.016,0.064,0.208,0.216,0.032,0.328,87.2,86.8,77.55,77.25,90.1
1.214,0.719,0.926,0.207,0.152,0.312,0.368,0.072,0.552,90.1,89.85,87.45,83.25,76.65
1.171,0.421,0.564,0.143,0.192,0.32,0.416,0.12,0.616,76.65,92.05,86.15,82.4,78.2
1.147,0.321,0.431,0.11,0.184,0.32,0.376,0.112,0.608,78.2,88.8,86.95,84.35,79.2
1.248,0.379,0.479,0.1,0.184,0.32,0.384,0.112,0.6,79.2,89.25,88,85.15,79.95
1.275,0.361,0.429,0.068,0.184,0.32,0.376,0.112,0.608,79.95,91.6,88.8,86.7,82.25
1.003,0.178,0.247,0.069,0.168,0.312,0.376,0.104,0.592,82.25,92.2,87.35,84.35,79
0.989,0.289,0.367,0.078,0.184,0.312,0.384,0.104,0.592,79,88.3,86.25,83.7,76.45
1.084,0.418,0.508,0.09,0.192,0.328,0.4,0.12,0.608,76.45,89.4,86.1,82.85,76.15
1.132,0.362,0.455,0.093,0.192,0.328,0.4,0.12,0.616,76.15,88.35,85.8,82.35,76.75
1.087,0.305,0.408,0.103,0.184,0.32,0.4,0.112,0.56,76.75,88.8,86.1,82.2,75.55
1.104,0.296,0.394,0.098,0.232,0.368,0.44,0.16,0.64,75.55,90.8,87.05,84.45,77.65
1.082,0.234,0.307,0.073,0.192,0.328,0.384,0.12,0.608,77.65,92.05,87.5,85.6,78
1.056,0.178,0.266,0.088,0.184,0.328,0.392,0.112,0.592,78,90.6,86.3,83.35,75.5
1.102,0.293,0.387,0.094,0.2,0.336,0.408,0.128,0.608,75.5,88.85,85.75,82.55,74.8
1.074,0.281,0.377,0.096,0.2,0.336,0.416,0.128,0.6,74.8,88.05,85.65,81.05,74.15
1.07,0.268,0.37,0.102,0.208,0.344,0.416,0.136,0.616,74.15,88.85,85.3,81.95,74.25
1.046,0.26,0.361,0.101,0.2,0.344,0.416,0.128,0.608,74.25,88.85,86.1,82.2,76.1
1.066,0.206,0.304,0.098,0.2,0.344,0.408,0.12,0.616,76.1,89.35,87.7,84.05,79.95
1.025,0.139,0.221,0.082,0.176,0.32,0.384,0.104,0.592,79.95,91.3,86.5,83.75,76.95
1.045,0.227,0.332,0.105,0.184,0.328,0.4,0.112,0.6,76.95,89.75,85.5,82.05,75.8
1.054,0.267,0.377,0.11,0.192,0.328,0.408,0.112,0.576,75.8,86.85,85.1,80.9,74.05
0.018,1.041,0.255,-0.786,0.008,0.216,0.352,0,0.424,74.05,74.25,87.4,84.9,81.65
-0.307,0.698,-0.095,-0.793,0.192,0.392,0.528,0.088,0.608,81.65,74.35,87,84.6,80.65
-0.312,0.721,-0.088,-0.809,0.176,0.384,0.52,0.08,0.6,80.65,74.7,87.2,85.7,82.35
-0.321,0.74,-0.136,-0.876,0.184,0.368,0.512,0.08,0.584,82.35,77.45,92.2,86.95,84
-0.339,0.634,-0.218,-0.852,0.192,0.376,0.52,0.088,0.592,84,77.3,90.9,85.75,82.55
-0.329,0.724,-0.091,-0.815,0.192,0.376,0.52,0.088,0.6,82.55,76.1,90.8,85.1,81.2
-0.323,0.743,-0.07,-0.813,0.176,0.376,0.52,0.08,0.592,81.2,74.15,89.25,85,81
-0.307,0.727,-0.078,-0.805,0.184,0.384,0.52,0.08,0.616,81,73.9,88.7,84.55,79.35
-0.316,0.707,-0.09,-0.797,0.168,0.368,0.504,0.072,0.584,79.35,73.8,89.05,84.9,81.5
-0.311,0.746,-0.1,-0.846,0.2,0.392,0.528,0.08,0.608,81.5,76.05,89.25,86.35,82.95
-0.321,0.663,-0.169,-0.832,0.192,0.376,0.52,0.088,0.592,82.95,77.5,92.6,86.75,83.05
-0.355,0.647,-0.185,-0.832,0.2,0.384,0.528,0.088,0.608,83.05,76.95,90.15,85.4,81.4
-0.314,0.725,-0.068,-0.793,0.176,0.384,0.52,0.08,0.6,81.4,74.2,88,85.05,81.15
-0.295,0.72,-0.073,-0.793,0.184,0.392,0.528,0.08,0.6,81.15,74,87.35,84.8,81.25
-0.319,0.679,-0.091,-0.77,0.184,0.4,0.536,0.088,0.616,81.25,73.55,86.05,84.6,80
-0.321,0.707,-0.082,-0.789,0.184,0.384,0.528,0.08,0.6,80,73.7,89.5,85.35,82
-0.3,0.737,-0.096,-0.833,0.192,0.392,0.528,0.088,0.608,82,75.4,90.8,86.6,83.3
